"","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","P_TYPE","S_RADIUS_EST","S_TYPE_TEMP","P_HABITABLE"
"Kepler-179 b",-0.510791223842794,-0.933789620544325,0.714392151258438,"Superterran",-0.232689521627183,"G","non-habitable"
"K2-80 d",-0.195552589366876,0.214606554633971,-0.362193215121516,"Neptunian",-0.198207500739674,"G","non-habitable"
"HD 219666 b.1",-0.446260570447979,-0.584064575900737,0.575878844337998,"Neptunian",-0.148051833994207,"G","non-habitable"
"WASP-45 b",-0.498666959011941,-0.878913158119563,0.743802548302032,"Jovian",-0.169994938195349,"K","non-habitable"
"KELT-20 b",-0.467987188474732,-0.834178202637736,1.71146393038994,"Jovian",0.0180888121001522,"A","non-habitable"
"HD 1461 c",-0.337453774468754,-0.184397000977452,0.235682505924099,"Superterran",-0.132864102505137,"G","non-habitable"
"Kepler-1329 b",-0.413667434115526,-0.371580147864946,-0.197858570294143,"Superterran",-0.254632625828325,"K","non-habitable"
"Kepler-643 b",-0.306068297037028,-0.0858166067858323,0.5552197383592,"Jovian",0.319022812572955,"K","non-habitable"
"K2-86 b.1",-0.415395465087136,-0.402330519252912,0.184759015623602,"Superterran",-0.232689521627183,"G","non-habitable"
"Kepler-96 b",-0.307196267693551,-0.0890246578770031,0.0934878446754656,"Neptunian",-0.151186563165799,"G","non-habitable"
"K2-5 b",-0.470319804476294,-0.608146810064004,-0.260744601980832,"Superterran",-0.292249375887425,"K","non-habitable"
"Kepler-130 b",-0.410835394583633,-0.420678005461063,0.576167985982967,"Terran",-0.116704542278291,"G","non-habitable"
"HD 175167 b",2.41017052551857,2.29532586084426,-1.79010678272117,"Jovian",0.0776486663603943,"G","non-habitable"
"HD 222076 b",1.95915318779925,2.07855740661603,-1.1479835390663,"Jovian",0.814310021684442,"K","non-habitable"
"Kepler-496 b",-0.416924687897269,-0.429439513543449,0.195871595691809,"Superterran",-0.213881146597633,"K","non-habitable"
"Kepler-315 b",0.232796895159974,0.865929271949716,-0.752086350025928,"Neptunian",-0.144917104822616,"G","non-habitable"
"HD 142 c",4.45106476526221,3.14461659513396,-2.53178320027367,"Jovian",-0.010123750444173,"G","non-habitable"
"Kepler-783 b",-0.476756959571273,-0.741361881164079,0.639142879061794,"Subterran",-0.191938042396491,"G","non-habitable"
"Kepler-1288 b",-0.499138419433965,-0.930061319367617,1.24286559335461,"Terran",-0.0665488755328234,"F","non-habitable"
"Kepler-1398 b",-0.500440567093993,-0.926119609002594,1.1836363177393,"Terran",-0.101030896420332,"F","non-habitable"
"K2-46 b",-0.279530263991769,-0.00269884700449134,0.343778115970718,"Superterran",-0.0665488755328234,"F","non-habitable"
"HD 219134 f",-0.262122320540552,0.0872299079775208,-0.522690914420942,"Superterran",-0.226420063284,"K","non-habitable"
"HD 8673 b",2.82188087760579,2.42582662801197,-1.958130416018,"Jovian",-0.0352015838169066,"F","non-habitable"
"K2-63 b.2",-0.227206889173025,0.0267343891463389,0.518677571560652,"Neptunian",0.040031916301294,"F","non-habitable"
"Kepler-182 b",-0.37241262221837,-0.346027863911725,0.532888551513321,"Neptunian",-0.110435083935107,"F","non-habitable"
"Kepler-253 c",-0.388161088979268,-0.323227099164954,0.0254468950827811,"Neptunian",-0.223285334112408,"K","non-habitable"
"Kepler-715 b",-0.381277684085432,-0.336880933074992,0.392609504424263,"Neptunian",-0.144917104822616,"G","non-habitable"
"KOI-1257 b",0.197481958663438,0.809343730273049,-0.793819723989755,"Jovian",-0.116704542278291,"G","non-habitable"
"Kepler-357 b",-0.447555066082038,-0.55060189508808,0.275671070002129,"Superterran",-0.210746417426041,"K","non-habitable"
"Kepler-153 c.1",-0.074955629839537,0.475580405980956,-0.574676092570017,"Neptunian",-0.191938042396491,"G","non-habitable"
"K2-59 b",-0.285605746347512,0.0379278865547056,-0.400619502344093,"Superterran",-0.242093709141958,"K","non-habitable"
"HD 72490 b",2.00219942458614,2.07025946491544,-0.984169807022491,"Jovian",1.08389673044133,"G","non-habitable"
"Kepler-1268 b",-0.074610776294739,0.40281124773668,-0.285514521687338,"Superterran",-0.129243458964657,"G","non-habitable"
"Kepler-562 b",-0.294669891126324,-0.0350048654001684,-0.0674495197248633,"Neptunian",-0.188803313224899,"G","non-habitable"
"HD 200964 c",2.06954274118686,2.06671092632789,-1.01159759768443,"Jovian",1.07135781375496,"G","non-habitable"
"24 Sex b",1.48448370017786,1.71774001501521,-0.680675565371608,"Jovian",1.06508835541178,"K","non-habitable"
"Kepler-402 c",-0.43602112987016,-0.577139822834638,0.826440723564038,"Superterran",-0.0759530630475985,"F","non-habitable"
"YZ Cet c",-0.54687913664033,-0.887822678307156,-0.854885806305098,"Terran",-0.417638542751093,"M","non-habitable"
"XO-6 b",-0.405147177982435,-0.799379626649493,1.16425464914656,"Jovian",0.134073791449045,"F","non-habitable"
"Kepler-918 b",-0.458962925344134,-0.685684400466859,0.854840029638026,"Superterran",-0.113569813106699,"F","non-habitable"
"WASP-183 b",-0.486428492489269,-0.760570959147421,0.628283670862206,"Jovian",-0.198207500739674,"G","non-habitable"
"K2-240 c",-0.328185416705071,0.0336044784584547,-0.943307806431901,"Superterran",-0.3016535634022,"M","non-habitable"
"Kepler-1586 b",-0.279346633486492,-0.109711451936201,0.676620481869789,"Superterran",0.0776486663603943,"F","non-habitable"
"bet Cnc b",1.84357165874096,1.87770119210322,0.527350505094399,"Jovian",14.3249927512446,"K","non-habitable"
"Kepler-1579 b",-0.558824014142801,-1.32207825472466,1.05108983815468,"Terran",-0.251497896656733,"K","non-habitable"
"K2-85 b",-0.566870734800203,-1.37381296296431,0.878363323770389,"Terran",-0.311057750916975,"K","non-habitable"
"Kepler-1189 b.2",-0.479591809314882,-0.796651518633278,0.990256276925767,"Superterran",-0.107300354763515,"F","non-habitable"
"Kepler-616 c",0.214322732263607,0.832570998046348,-0.796405079151861,"Neptunian",-0.166860209023758,"G","non-habitable"
"Kepler-90 c",-0.388161088979268,-0.405586598251261,0.581095196048276,"Terran",-0.0947614380771487,"G","non-habitable"
"HD 20794 e",0.413567358131925,1.09883525089561,-1.0232728945021,"Terran",-0.13422441822915,"G","non-habitable"
"HD 190984 b.1",4.00294075017996,3.03060105295776,-2.43392380984717,"Jovian",0.00868462458537714,"F","non-habitable"
"Kepler-1424 b",-0.173249371656258,0.22816185850466,-0.141525625804371,"Terran",-0.135512917307841,"G","non-habitable"
"Kepler-1068 b",-0.298623483132273,-0.0674992597351198,0.0932213955205185,"Neptunian",-0.154321292337391,"G","non-habitable"
"Kepler-1291 b",-0.413851508574121,-0.410665270660127,0.141287346137269,"Superterran",-0.220150604940816,"K","non-habitable"
"Kepler-859 b",-0.284108183387392,0.0299676705116332,-0.374405816509757,"Neptunian",-0.229554792455591,"K","non-habitable"
"Kepler-1547 b",-0.558917081080319,-1.37104980388736,1.88305491268932,"Terran",-0.101030896420332,"F","non-habitable"
"Kepler-432 c",1.31463906143158,1.6578818643065,-0.785088023094762,"Jovian",0.801771104998075,"K","non-habitable"
"Kepler-684 b",-0.437502965356353,-0.52922968964302,0.384388811972455,"Neptunian",-0.201342229911266,"G","non-habitable"
"Kepler-1148 b.1",-0.5502804378715,-1.25085495022272,1.12001241180064,"Superterran",-0.229554792455591,"K","non-habitable"
"WASP-136 b",-0.440397652148377,-0.652581965655966,1.31942419470545,"Jovian",0.221846208253612,"F","non-habitable"
"Kepler-110 b",-0.347867116130664,-0.216306184727644,0.37747338098024,"Superterran",-0.110435083935107,"G","non-habitable"
"HD 34445 b",2.15922648878153,2.18117665502291,-1.77063793063886,"Jovian",-0.0383363129884983,"G","non-habitable"
"Kepler-716 b",-0.391658004325327,-0.318850494584891,-0.00317567318759476,"Neptunian",-0.226420063284,"K","non-habitable"
"Kepler-1413 b",-0.356707619074208,-0.196807964466733,-0.0801869213482539,"Superterran",-0.220150604940816,"K","non-habitable"
"WASP-94 B b.1",-0.51672956279417,-1.05344319047659,1.40743311936154,"Jovian",-0.0477405005032733,"F","non-habitable"
"HD 82886 b",1.73183072165873,1.96189611950793,-0.799966161464562,"Jovian",1.17793860558908,"G","non-habitable"
"Kepler-225 c.1",-0.33900190436873,-0.0126522095192871,-1.05227379134335,"Superterran",-0.32046193843175,"M","non-habitable"
"Kepler-728 b",-0.450590554552169,-0.607528991920967,0.557031415688752,"Neptunian",-0.179399125710124,"G","non-habitable"
"GJ 3021 b",0.382423447858923,1.04678255458114,-1.10898765496362,"Jovian",-0.188803313224899,"G","non-habitable"
"K2-270 b",-0.537747395860333,-1.14627175466954,0.884490990695547,"Terran",-0.229554792455591,"K","non-habitable"
"Kepler-278 c",0.0357695368307512,0.521760907380105,0.0514566758053182,"Neptunian",0.450681437779806,"K","non-habitable"
"WASP-46 b",-0.54098768279734,-1.17131340855923,1.22309979306932,"Jovian",-0.201342229911266,"G","non-habitable"
"Kepler-811 b",-0.229853760996928,0.107075323088513,0.0653349479403657,"Neptunian",-0.0822225213907819,"G","non-habitable"
"Kepler-931 b",-0.420740004742501,-0.445766862763842,0.188311468889706,"Terran",-0.217015875769225,"K","non-habitable"
"Kepler-310 c",0.0109519241531896,0.576231539774635,-0.606100290194302,"Neptunian",-0.195072771568083,"G","non-habitable"
"Kepler-808 b",-0.565631397332181,-1.39154151436906,1.23280634623973,"Terran",-0.248363167485142,"K","non-habitable"
"Kepler-583 b",-0.438726156287846,-0.548051464394395,0.44190972732306,"Superterran",-0.185668584053308,"G","non-habitable"
"Kepler-424 b",-0.491884382179827,-0.854583567066804,0.768334968558991,"Jovian",-0.176264396538533,"G","non-habitable"
"BD+20 594 b",0.0072771942518756,0.411881383386427,-0.452822506031452,"Neptunian",-0.132378188136249,"G","non-habitable"
"Kepler-1336 b",-0.241612479264028,0.0983373079418382,0.0643343962456656,"Superterran",-0.0634141463612317,"G","non-habitable"
"HD 204313 c.1",-0.129401008359668,0.31631862828623,-0.219225645646015,"Neptunian",-0.126108729793066,"G","non-habitable"
"HIP 67537 b",3.76905812901055,2.67298179643835,-1.30812157114201,"Jovian",2.25315071144503,"K","non-habitable"
"Kepler-57 c",-0.376279912641185,-0.261780720500331,-0.0974034493224025,"Jovian",-0.242093709141958,"K","non-habitable"
"Kepler-1201 b",-0.30665638764163,-0.123784691801918,0.366527814807319,"Superterran",-0.0822225213907819,"F","non-habitable"
"HD 8574 b",0.791752652869372,1.33748880178909,-0.961888554698234,"Jovian",-0.0383363129884983,"F","non-habitable"
"Kepler-1609 b.1",0.377616073798238,0.96103207944565,-0.660169584121595,"Superterran",-0.0728183338760068,"F","non-habitable"
"HD 97658 b",-0.398637796458807,-0.363387340494579,0.00628626537282503,"Superterran",-0.238958979970366,"K","non-habitable"
"Kepler-110 c.1",-0.153695188312436,0.264998553689219,-0.0924174479781452,"Superterran",-0.110435083935107,"G","non-habitable"
"Kepler-320 c",-0.27135964502978,-0.0371706195660294,0.251447527837228,"Terran",-0.122974000621474,"F","non-habitable"
"HD 148164 c.1",4.23720147723372,3.05025978897775,-2.57570887324735,"Jovian",-0.050875229674865,"F","non-habitable"
"Kepler-366 b.1",-0.489531220395136,-0.858428430101112,1.03211027224674,"Terran",-0.141782375651024,"F","non-habitable"
"Kepler-699 b",-0.217271589457292,0.194649784501049,-0.431151474540612,"Jovian",-0.226420063284,"G","non-habitable"
"HD 73267 b",2.25962599039058,2.28233683679916,-2.18342726306453,"Jovian",-0.144917104822616,"G","non-habitable"
"Kepler-134 b",-0.45450149735579,-0.643583167043166,0.844861048459459,"Superterran",-0.101030896420332,"G","non-habitable"
"YZ Cet c.1",-0.54687913664033,-0.887822678307156,-0.854885806305098,"Terran",-0.417638542751093,"M","non-habitable"
"Kepler-1411 b",0.185163998079187,0.805976702228765,-0.827889042918957,"Neptunian",-0.182533854881716,"G","non-habitable"
"K2-187 b",-0.557737101418251,-1.34524987573639,1.5126043679331,"Terran",-0.182533854881716,"G","non-habitable"
"KIC 5951458 b",2.36551158026714,2.30805830704925,-1.68784680075316,"Jovian",0.00554989541378545,"F","non-habitable"
"WASP-16 b",-0.476357143301766,-0.879916903445562,0.874404970347134,"Jovian",-0.113569813106699,"G","non-habitable"
"HD 109271 c",-0.157801918250909,0.251500414580505,-0.0829421788124087,"Neptunian",-0.0860762006978781,"G","non-habitable"
"WASP-47 e",-0.556443322677994,-1.34039067403074,1.67074117795848,"Superterran",-0.113569813106699,"G","non-habitable"
"Kepler-208 c",-0.410835394583633,-0.481817709790397,0.742134587815997,"Terran",-0.06027941718964,"F","non-habitable"
"Kepler-139 b",-0.303857394298594,-0.10421205015351,0.243452646624375,"Neptunian",-0.0634141463612317,"G","non-habitable"
"Kepler-1007 b",-0.471305722536269,-0.655286617332108,0.138178435959555,"Terran",-0.251497896656733,"K","non-habitable"
"HD 104067 b.1",-0.0296750718374951,0.569759458650622,-0.923953280082247,"Jovian",-0.238958979970366,"K","non-habitable"
"Kepler-107 d",-0.404011112653048,-0.450639086047251,0.708192239373658,"Terran",-0.0289321254737232,"G","non-habitable"
"Kepler-144 b",-0.440628211437169,-0.59603320707644,0.833254859791584,"Terran",-0.0822225213907819,"F","non-habitable"
"Kepler-28 b",-0.449868362531735,-0.593868936145988,0.0162229045450719,"Jovian",-0.251497896656733,"M","non-habitable"
"WASP-64 b",-0.533481536515214,-1.13974504167524,1.23117090899386,"Jovian",-0.138647646479432,"G","non-habitable"
"Kepler-703 b",-0.461347043676691,-0.711805545915262,0.990232400794162,"Jovian",-0.0728183338760068,"F","non-habitable"
"Kepler-260 b",-0.419964011562993,-0.436682645172983,0.233204572795243,"Superterran",-0.201342229911266,"K","non-habitable"
"Kepler-68 c.1",-0.384306097224829,-0.357406170319521,0.517747269575264,"Terran",-0.0822225213907819,"G","non-habitable"
"Kepler-1363 b",-0.509223707211118,-0.904135964789735,0.519617844120603,"Terran",-0.24522843831355,"K","non-habitable"
"HD 169830 b.1",0.860605258615694,1.33413491952962,-0.774561340754752,"Jovian",0.0757897719616405,"F","non-habitable"
"Kepler-275 d",-0.100922880595879,0.32805674031928,0.00420903506681329,"Neptunian",-0.0383363129884983,"F","non-habitable"
"HD 204313 c.2",-0.129401008359668,0.31631862828623,-0.219225645646015,"Neptunian",-0.126108729793066,"G","non-habitable"
"K2-42 b",-0.450562776237828,-0.535115154689192,-0.040852633369105,"Superterran",-0.270306271686283,"K","non-habitable"
"K2-278 b.1",-0.480609695912538,-0.851631664069178,1.42373322517601,"Neptunian",0.0337624579581107,"F","non-habitable"
"Kepler-124 b",-0.503684103816979,-0.842089511562707,0.427526533614696,"Subterran",-0.270306271686283,"K","non-habitable"
"Kepler-335 c",0.150800636053133,0.675943009519601,-0.198735442403631,"Neptunian",0.108995958076311,"G","non-habitable"
"Kepler-339 d",-0.38365122111514,-0.309856095333467,0.13732388279351,"Terran",-0.220150604940816,"G","non-habitable"
"Kepler-250 b.1",-0.482485222364755,-0.756654944487769,0.501861381504462,"Terran",-0.217015875769225,"K","non-habitable"
"K2-133 c",-0.493273805094802,-0.684367529097533,-0.379892785416182,"Superterran",-0.326731396774934,"M","non-habitable"
"HD 30177 c",5.27131053404518,3.50892510795715,-3.19198473413621,"Jovian",-0.116704542278291,"G","non-habitable"
"Kepler-538 b",0.16442436511708,0.777496460408478,-0.824564351215192,"Superterran",-0.188803313224899,"G","non-habitable"
"Kepler-647 b",-0.304632565710334,-0.0894425476523835,0.209002042643287,"Terran",-0.135512917307841,"F","non-habitable"
"Kepler-691 b.1",-0.445382867309578,-0.441090900891914,-0.586895738280178,"Superterran",-0.314192480088567,"M","non-habitable"
"WASP-136 b.1",-0.440397652148377,-0.652581965655966,1.31942419470545,"Jovian",0.221846208253612,"F","non-habitable"
"Kepler-1539 b",0.368793200778971,1.04511369114842,-1.26257192717596,"Neptunian",-0.220150604940816,"K","non-habitable"
"HD 34445 b.1",2.15922648878153,2.18117665502291,-1.77063793063886,"Jovian",-0.0383363129884983,"G","non-habitable"
"K2-191 b",-0.505930537027094,-0.915934377081394,0.711777254619182,"Superterran",-0.20761168825445,"K","non-habitable"
"Kepler-345 b",-0.440628211437169,-0.485159424601424,-0.153020504989235,"Subterran",-0.276575730029467,"K","non-habitable"
"Kepler-632 b",-0.176167346793464,0.252651623924341,-0.461733057169102,"Superterran",-0.20761168825445,"G","non-habitable"
"Kepler-239 c",-0.0141188344884064,0.573849205963957,-0.933847169994986,"Neptunian",-0.232689521627183,"K","non-habitable"
"HATS-69 b",-0.520037496002896,-1.01498898391455,0.837605500657074,"Jovian",-0.195072771568083,"K","non-habitable"
"Kepler-206 c",-0.33900190436873,-0.198582811628348,0.324486103549513,"Superterran",-0.0978961672487404,"G","non-habitable"
"HD 21749 c",-0.43257147695811,-0.461114970662918,-0.0653930210532612,"Terran",-0.254632625828325,"K","non-habitable"
"HD 82943 c",0.768530873286651,1.32045701772457,-1.15791305632957,"Jovian",-0.136510231393783,"G","non-habitable"
"WASP-131 b",-0.452878906541491,-0.643181580922456,1.04638934377027,"Jovian",0.00868462458537714,"G","non-habitable"
"Kepler-539 b",0.39689707119288,1.01262198630868,-0.994450129185201,"Jovian",-0.173129667366941,"G","non-habitable"
"K2-293 b",-0.347012047920207,-0.199168133926062,0.11503909333326,"Superterran",-0.173129667366941,"G","non-habitable"
"Kepler-97 c",1.7851487921625,2.02400027498198,-1.87134054105825,"Jovian",-0.163725479852166,"G","non-habitable"
"Kepler-1577 b.1",-0.451085810852878,-0.563297353817411,0.15305816088124,"Terran",-0.238958979970366,"K","non-habitable"
"11 UMi b.1",1.68372982653553,1.79000575859628,0.300822936050009,"Jovian",8.8674292635035,"K","non-habitable"
"OGLE-TR-211 b",-0.475459365375746,-0.809649224738086,1.30544677420765,"Jovian",0.0431666454728857,"F","non-habitable"
"Kepler-504 b.1",-0.452509520463191,-0.360321867055722,-0.948812588099335,"Superterran",-0.367482876005626,"M","non-habitable"
"HD 67087 b",1.20235109482843,1.57928607951376,-1.06974082788327,"Jovian",0.0149540829285605,"F","non-habitable"
"WASP-67 b",-0.471829080511181,-0.708756864763162,0.507743282570947,"Jovian",-0.195072771568083,"K","non-habitable"
"K2-37 d",-0.340551009995535,-0.162492543810927,-0.0235250890558102,"Neptunian",-0.204476959082858,"G","non-habitable"
"Kepler-182 c",-0.23928597593959,0.037730275250766,0.157257724335411,"Neptunian",-0.110435083935107,"F","non-habitable"
"Kepler-1329 b.1",-0.413667434115526,-0.371580147864946,-0.197858570294143,"Superterran",-0.254632625828325,"K","non-habitable"
"HD 4203 b",1.30646499228827,1.6916669972014,-1.41040200118635,"Jovian",-0.0257973963021315,"G","non-habitable"
"WASP-72 b",-0.485363467707102,-1.01645159279421,1.57080424306742,"Jovian",0.212442020738837,"F","non-habitable"
"Kepler-302 c",0.403775005353104,1.01977263436132,-0.816092046853154,"Jovian",-0.0884919797339653,"G","non-habitable"
"Kepler-1227 b",0.231468283112616,0.85552057197836,-0.832626760593289,"Superterran",-0.173129667366941,"G","non-habitable"
"Kepler-722 b",-0.476474966143397,-0.762541795320756,0.855420449354848,"Neptunian",-0.141782375651024,"G","non-habitable"
"Kepler-809 b",0.0171073995480626,0.56813630004549,-0.549333727826385,"Neptunian",-0.163725479852166,"G","non-habitable"
"Kepler-270 c",-0.190905143162785,0.143559399115057,0.189729937989297,"Superterran",-0.0132584796157647,"F","non-habitable"
"Kepler-75 b",-0.404465475774107,-0.396256864729017,0.144342401389352,"Jovian",-0.191938042396491,"K","non-habitable"
"Kepler-1390 b",-0.437050077330488,-0.550248562437592,0.552555942453303,"Terran",-0.163725479852166,"G","non-habitable"
"HD 102117 b",-0.254201618657704,0.0410059424848489,0.0892859481043244,"Jovian",-0.0853572505623736,"G","non-habitable"
"HD 216770 b",0.332430999757214,0.980364531783482,-1.06184690982565,"Jovian",-0.179399125710124,"K","non-habitable"
"HD 26965 b",-0.111128869810578,0.420771881138564,-0.628396631590618,"Superterran",-0.198207500739674,"K","non-habitable"
"HD 188015 b",1.34356148919293,1.72787240545327,-1.61084970994872,"Jovian",-0.148515460438686,"G","non-habitable"
"Kepler-1498 b",-0.0572739653970547,0.48867596136291,-0.717105293733137,"Terran",-0.217015875769225,"K","non-habitable"
"Kepler-115 c",-0.392679247046341,-0.390365598152563,0.5792043525555,"Neptunian",-0.091626708905557,"G","non-habitable"
"CoRoT-16 b",-0.450331283202915,-0.640544792290357,0.73052575737838,"Jovian",-0.0978961672487404,"G","non-habitable"
